User-101,Your application has been approved.,TRUE,12/05/2025 09:00:00 AM,Approved
User-102,You have a new message waiting in your inbox.,FALSE,12/05/2025 09:05:30 AM,New Notification
User-103,Your vacation request was rejected.,TRUE,12/05/2025 09:10:00 AM,Rejected
User-104,The event sign-up has been cancelled.,FALSE,12/05/2025 09:15:30 AM,Cancelled
User-105,A new job opportunity has been applied for.,TRUE,12/05/2025 09:20:00 AM,Applied
User-101,Your profile was recently updated.,FALSE,12/05/2025 09:25:00 AM,New Notification
User-106,Your access request was approved.,TRUE,12/05/2025 10:00:00 AM,Approved
User-107,Please review the document changes.,FALSE,12/05/2025 10:05:30 AM,New Notification
User-108,Enrollment for the course was rejected.,TRUE,12/05/2025 10:10:00 AM,Rejected
User-109,The project milestone has been cancelled.,FALSE,12/05/2025 10:15:30 AM,Cancelled
User-110,The scholarship application has been applied.,TRUE,12/05/2025 11:00:00 AM,Applied
User-102,A system alert requires your attention.,FALSE,12/05/2025 11:05:00 AM,New Notification
User-103,Your submitted thesis was approved.,TRUE,12/05/2025 11:10:00 AM,Approved
User-104,Maintenance scheduled for tomorrow.,FALSE,12/05/2025 11:15:30 AM,New Notification
User-105,The order was cancelled by the seller.,TRUE,12/05/2025 01:00:00 PM,Cancelled
User-111,Your loan application was rejected.,FALSE,12/05/2025 01:05:00 PM,Rejected
User-112,You have successfully applied for the permit.,TRUE,12/05/2025 01:10:00 PM,Applied
User-113,New connection request from John Doe.,FALSE,12/05/2025 01:15:30 PM,New Notification
User-114,The payment was approved successfully.,TRUE,12/05/2025 02:00:00 PM,Approved
User-115,Registration has been cancelled.,FALSE,12/05/2025 02:05:00 PM,Cancelled
